"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",46,0.6736701032431,2.60950706512332,9.67104554258673e-10,2.11940963065788e-06,1.31390463698207e-06,2911,"tags=78%, list=23%, signal=60%","RPL12/RPL4/RPL30/RPL5/RPL11/RPL36A/RPL32/RPL9/RPL7A/RPL7/RPL24/RPL34/RPL10/RPL17/RPL39/RPL36/RPL19/RPL28/RPL29/RPL35A/RPL6/RPL10A/RPL21/UBA52/RPLP1/RPL18A/RPL18/RPLP2/RPL23/RPL27/RPL38/RPL41/RPLP0/RPL31/RPL15/RPL14",0.788186810800237
"GO:1901740","negative regulation of myoblast fusion",46,0.6736701032431,2.60950706512332,9.67104554258673e-10,2.11940963065788e-06,1.31390463698207e-06,2911,"tags=78%, list=23%, signal=60%","RPL12/RPL4/RPL30/RPL5/RPL11/RPL36A/RPL32/RPL9/RPL7A/RPL7/RPL24/RPL34/RPL10/RPL17/RPL39/RPL36/RPL19/RPL28/RPL29/RPL35A/RPL6/RPL10A/RPL21/UBA52/RPLP1/RPL18A/RPL18/RPLP2/RPL23/RPL27/RPL38/RPL41/RPLP0/RPL31/RPL15/RPL14",0.788186810800237
"GO:0060142","regulation of syncytium formation by plasma membrane fusion",53,0.585511355595409,2.36300730676271,4.65738061370751e-07,0.000224720405172621,0.000139312937956758,2911,"tags=72%, list=23%, signal=55%","RPL12/PLEKHO1/RPL4/RPL30/RPL5/RPL11/RPL36A/RPL32/RPL9/RPL7A/RPL7/RPL24/RPL34/RPL10/TYROBP/RPL17/RPL39/RPL36/RPL19/RPL28/RPL29/RPL35A/RPL6/RPL10A/RPL21/UBA52/RPLP1/RPL18A/RPL18/RPLP2/RPL23/RPL27/RPL38/RPL41/RPLP0/RPL31/RPL15/RPL14",0.674962860011025
"GO:1901739","regulation of myoblast fusion",52,0.581433657446738,2.31489358171487,5.30658548379532e-07,0.000224720405172621,0.000139312937956758,2911,"tags=71%, list=23%, signal=55%","RPL12/PLEKHO1/RPL4/RPL30/RPL5/RPL11/RPL36A/RPL32/RPL9/RPL7A/RPL7/RPL24/RPL34/RPL10/RPL17/RPL39/RPL36/RPL19/RPL28/RPL29/RPL35A/RPL6/RPL10A/RPL21/UBA52/RPLP1/RPL18A/RPL18/RPLP2/RPL23/RPL27/RPL38/RPL41/RPLP0/RPL31/RPL15/RPL14",0.659444398037935
"GO:0007520","myoblast fusion",56,0.571129130179158,2.29213202431611,4.41485848333793e-07,0.000224720405172621,0.000139312937956758,2911,"tags=70%, list=23%, signal=54%","RPL12/PLEKHO1/RPL4/RPL30/RPL5/RPL11/RPL36A/RPL32/RPL9/RPL7A/RPL7/RPL24/RPL34/RPL10/RPL17/RPL39/RPL36/RPL19/CD9/RPL28/RPL29/RPL35A/RPL6/RPL10A/RPL21/UBA52/RPLP1/RPL18A/RPL18/RPLP2/CD81/RPL23/RPL27/RPL38/RPL41/RPLP0/RPL31/RPL15/RPL14",0.674962860011025
"GO:0000768","syncytium formation by plasma membrane fusion",59,0.565381150734796,2.28412650722629,6.66521849702048e-07,0.000224720405172621,0.000139312937956758,2911,"tags=69%, list=23%, signal=54%","RPL12/PLEKHO1/RPL4/RPL30/RPL5/RPL11/RPL36A/SH3PXD2A/RPL32/RPL9/RPL7A/RPL7/RPL24/RPL34/RPL10/TYROBP/RPL17/RPL39/RPL36/RPL19/CD9/RPL28/RPL29/RPL35A/RPL6/RPL10A/RPL21/UBA52/RPLP1/RPL18A/RPL18/RPLP2/CD81/RPL23/RPL27/RPL38/RPL41/RPLP0/RPL31/RPL15/RPL14",0.659444398037935
"GO:0006949","syncytium formation",59,0.565381150734796,2.28412650722629,6.66521849702048e-07,0.000224720405172621,0.000139312937956758,2911,"tags=69%, list=23%, signal=54%","RPL12/PLEKHO1/RPL4/RPL30/RPL5/RPL11/RPL36A/SH3PXD2A/RPL32/RPL9/RPL7A/RPL7/RPL24/RPL34/RPL10/TYROBP/RPL17/RPL39/RPL36/RPL19/CD9/RPL28/RPL29/RPL35A/RPL6/RPL10A/RPL21/UBA52/RPLP1/RPL18A/RPL18/RPLP2/CD81/RPL23/RPL27/RPL38/RPL41/RPLP0/RPL31/RPL15/RPL14",0.659444398037935
"GO:0140253","cell-cell fusion",59,0.565381150734796,2.28412650722629,6.66521849702048e-07,0.000224720405172621,0.000139312937956758,2911,"tags=69%, list=23%, signal=54%","RPL12/PLEKHO1/RPL4/RPL30/RPL5/RPL11/RPL36A/SH3PXD2A/RPL32/RPL9/RPL7A/RPL7/RPL24/RPL34/RPL10/TYROBP/RPL17/RPL39/RPL36/RPL19/CD9/RPL28/RPL29/RPL35A/RPL6/RPL10A/RPL21/UBA52/RPLP1/RPL18A/RPL18/RPLP2/CD81/RPL23/RPL27/RPL38/RPL41/RPLP0/RPL31/RPL15/RPL14",0.659444398037935
"GO:0006346","DNA methylation-dependent constitutive heterochromatin formation",20,0.701492530352021,2.19756628921977,6.19334040711152e-05,0.012926386192557,0.00801357062464121,1347,"tags=45%, list=11%, signal=40%","MBD2/MBD3/TDRD12/KMT2A/TRIM28/DNMT1/EHMT2/HDAC1/DNMT3A",0.538434096309916
"GO:0140719","constitutive heterochromatin formation",43,0.571058522753174,2.16428817731491,2.91019931949571e-05,0.00708633534297206,0.00439309547888143,1347,"tags=30%, list=11%, signal=27%","MBD2/MBD3/TDRD12/KMT2A/TRIM28/TNRC18/DNMT1/EHMT2/SMYD5/ZNF512/HDAC1/RESF1/DNMT3A",0.575610261071129
